text,label
"All Basotho Convention	Tom Thabane	Tom Thabane resigned in October last year to form the All Basotho Convention -LRB- ABC -RRB- , crossing the floor with 17 members of parliament , causing constitutional monarch King Letsie III to dissolve parliament and call the snap election .",founded_by
"Olivia Palermo	Gossip Girl	Olivia Palermo was looking very Blair Waldorfish at last week 's You Know You Want It : Style-Inspiration-Confidence book launch , so it 's only fitting she ran into real-life Gossip Girl s Leighton Meester and Nicole Fiscella on her way there !",employee_of
"Lashkar-e-Taiba	Army of the Pure	But US and Indian experts say it has hesitated to take action against Lashkar-e-Taiba , which means `` The Army of the Pure , '' believing that the Islamic militants could prove useful in pressuring its historic rival India .",alternate_names
Spencer Pratt	Beverly Hills	Spencer Pratt : Beverly Hills Birthday Boy,cities_of_residence
"Kaiser	Robert G	Besides his son Charles , an author and journalist , Kaiser is survived by his wife of 67 years , Hannah Greeley Kaiser ; two other sons , Robert G , a former managing editor and now an associate editor of The Washington Post , and David , a professor of history at the Naval War College in Newport , RI ; and four grandchildren .",children
"Britney	Jayden	* Britney Spears ' Sunday with her kids * Sunday was Britney 's day with Sean , 2 , and Jayden , 1 , and she took them to lunch at Taverna Tony 's in Malibu , a Greek restaurant .",children
"Donald Wildmon	American Family Association	Donald Wildmon , the founder and head of the American Family Association , is asking its members to petition Congress to end all funding for PBS .",employee_of
Fuller	creator	How creator Fuller is going to keep things interesting as Ned revives/kills dead people each week and continues to be unable to touch Chuck will be one of the TV season 's true wonders .,title
"Steve McPherson	Tom Hoberman	In the latest Steve McPherson is Gone News , his longtime entertainment attorney Tom Hoberman has issued a deliciously vague and intriguing statement :",siblings
Boyle	Catholic	Devout Catholic Miss Boyle has been at the centre of a media storm since news emerged of how she wowed Britain 's Got Talent judges Simon Cowell and Piers Morgan with her amazing opera voice .,religion
"Kim	25-year-old	This is TELEVISIONISTA Read more about AMERICAN IDOL Kim , a 25-year-old from Saratoga , Calif known for insisting to perform barefoot , was the first one cut on Thursday after failing to impress even Paula Abdul with his rendition of `` Careless Whisper '' by George Michael .",age
"Josephine Robinson McNair	Robin Lee Howell	He is survived by his wife of 63 years , Josephine Robinson McNair , of Columbia ; a son , Robert E. Jr. , of Columbia ; three daughters , Robin Lee Howell and Corinne Godshall , of Myrtle Beach , S.C. , and Claudia Crawford McNair , of Jamestown , S.C. ; six grandchildren ; and one great-grandchild .",children
"PRC	Popular Resistance Committee	Abu Mujahid , spokesman of the Popular Resistance Committee -LRB- PRC -RRB- said in a statement sent to reporters that the contradicted statements of the Israeli officials `` show that Israel is the one which delays and blocks the swap . ''",alternate_names
"Barbara Boxer	Sen	California Sen Boxer seeks support for Senate climate bill `` There are some in the Senate who insist that global warming is nothing more than science fiction , '' Sen Barbara Boxer said in the Democrats ' weekly radio address .",employee_of
"Britney Spears	Los Angeles	The same week that a Los Angeles salon owner was pleading with Britney Spears not to buzz her head , barbers were laying tracks across the scalps of all sorts of men at the Aidan Gill for Men salon in New Orleans .",cities_of_residence
"Al Hubbard	chairman	In a recent speech , Al Hubbard , chairman of the National Economic Council , predicted Bush would generate `` headlines above the fold that will knock your socks off in terms of our commitment to energy independence . ''",title
Barnes Foundation	http://www.barnesfoundation.org/	Barnes Foundation : http://www.barnesfoundation.org/,website
"Carolyn Goodman	Las Vegas	Meadows , founded and operated by Carolyn Goodman , the wife of the Las Vegas mayor , Oscar Goodman , occupies a lush 40-acre campus dotted by markers touting the sponsorships of buildings , benches , trees , even trash receptacles in honor of the scions of the city 's business and political leaders .",cities_of_residence
"Ferrara	Bianconeri	While Juventus still holds the record with 27 Serie A titles , it has not officially won the `` scudetto '' since 2002-03 , when Ferrara was winding down an 11-year stint as a defender for the Bianconeri .",employee_of
Richard Lindzen	professor	A Mystery Climate Mechanism Douglass and Knox point out that the mechanism producing the negative feedback may be the `` Infrared Iris effect '' due to clouds proposed by MIT professor Richard Lindzen .,title
"Blackburn Rovers	Blackburn	Football : Allardyce becomes new Blackburn manager `` Blackburn Rovers are delighted to announce the appointment of Sam Allardyce as manager with immediate effect , '' a statement on the club 's official website said .",alternate_names
Scheider	police chief	Mr. Scheider played the police chief of a resort town menaced by a shark .,title
"Teddy Kollek	Mayor	Former Jerusalem Mayor Teddy Kollek , who balanced needs of diverse people , dies at 95",title
"William Anderson	Tennessee	William Anderson , who made history in 1958 when he commanded the atomic submarine Nautilus under the Polar ice cap to the North Pole and later served four terms as a congressman from Tennessee , has died .",stateorprovinces_of_residence
"Noordhoff Craniofacial Foundation	TOAID	The five NGOs that form TOAID are Compassion International Taiwan , the Eden Social Welfare Foundation , the Field Relief Agency of Taiwan , the Noordhoff Craniofacial Foundation and the Taiwan Root Medical Peace Corps .",member_of
"FEC	Trevor Potter	McCain and his lawyer , former FEC chairman Trevor Potter , have argued that McCain is entitled to turn down the primary matching funds in the same manner that Democratic presidential candidates Richard Gephardt , John Kerry and Howard Dean did in the 2004 primaries .",top_members/employees
"Negroponte	United States	Born in London in 1939 the son of a Greek tycoon , Negroponte grew up in Britain , Switzerland and the United States .",countries_of_residence
"SLDN	C Dixon Osburn	`` The military continues to sacrifice national security and military readiness in favor of simple prejudice , '' said SLDN Executive Director C Dixon Osburn .",top_members/employees
"Noordhoff Craniofacial Foundation	Samuel Noordhoff	1999 : President Lee Teng-hui confers the Order of the Brilliant Star with a Violet Grand Cordon on Samuel Noordhoff , founder of the Noordhoff Craniofacial Foundation , for his devoted service to local citizens over the past four decades .",founded_by
"ITW	Glenview	The offer from ITW , the Glenview , Ill , diversified manufacturer of engineered products , represents a premium of 85 percent to the Manitowoc bid .",city_of_headquarters
"George Young	Holy Temple Baptist Church	The Rev. George Young , pastor of Holy Temple Baptist Church in Oklahoma City , has taught dozens of secular marriage skills courses to low-income men and women and was an adviser to the governor 's office .",employee_of
Chinese Communist Party	National Congress	He encouraged them to implement the spirit of the 17th National Congress of the Chinese Communist Party and make new contributions to building a moderately prosperous society .,members
"Korean Central News Agency	North Korea	The statement from North Korea , carried by the country 's official Korean Central News Agency , did not mention Kim by name , but South Korean Unification Ministry spokesman Kim Ho-nyeon said the North 's state media has before used such wording to refer to him .",country_of_headquarters
"RIA Novosti	Church	`` A medical commission is working to establish the causes of his death , '' said Vladimir Vigilyanski , a Church spokesman , according to state news agency RIA Novosti .",member_of
"Chris Ivery	Ellen Pompeo	Debra Messing , Ellen Pompeo and husband Chris Ivery , `` Gray 's Anatomy '' co-star Eric Dane and his wife Rebecca Gayheart , Sigourney Weaver , Eva Longoria , Pharrell , Natasha Richardson and Angie Harmon all saw Kors ' interpretation of `` reel life . ''",spouse
"Ownit Mortgage Solutions	California	She borrowed the money from Ownit Mortgage Solutions , a California company that sought bankruptcy protection in December after many of its customers defaulted on their loans .",stateorprovince_of_headquarters
"Mainland Affairs Council	Liu Te-shun	`` Kao Koong-lian , vice chairman and secretary-general of the Straits Exchange Foundation -LRB- SEF -RRB- , traveled to Shenzhen earlier in the day to negotiate the agenda for a second round of talks with the Beijing-based Association for Relations Across the Taiwan Straits -LRB- ARATS -RRB- , '' said Liu Te-shun , vice chairman of the Mainland Affairs Council -LRB- MAC -RRB- .",top_members/employees
"New Jerusalem Foundation	Olmert	Talansky is also the US contact for the New Jerusalem Foundation , an organization founded by Olmert while he was Jerusalem 's mayor .",founded_by
"Taiwan Research Institute	Taiwan	The year 2008 is expected to be one of slow economic growth for almost all major economies and Taiwan is no exception with an economic growth rate estimated at 4.23 percent , the head of the Taiwan Research Institute -LRB- TRI -RRB- said Wednesday .",country_of_headquarters
"Watson	captain	The white haired Watson , pictured on the Sea Shepherd website -LRB- www.seashepherd.org -RRB- in captain 's regalia , is a Canadian from the maritime province of New Brunswick .",title
"American Beverage Association	Kevin Keane	`` Critics make the presumption that people switch , but people have their preferences , which is why companies are constantly trying different innovations on products like Coke Zero and Pepsi Max , '' Kevin Keane , a spokesman for the American Beverage Association , said Wednesday .",top_members/employees
"Czech National Bank	Zdenek Tuma	The current financial crisis will likely delay the Czech Republic 's adoption of the euro , Czech National Bank governor Zdenek Tuma said Sunday .",top_members/employees
"MECO	Manila Economic and Cultural Office	Amadeo Perez Jr. , chairman of the Manila Economic and Cultural Office -LRB- MECO -RRB- , extended a welcome to the mission at the party .",alternate_names
"Julian Bond	National Association for the Advancement of Colored People	Julian Bond , chairman of the board of the National Association for the Advancement of Colored People , said Gordon tried to quit just six weeks after taking the job in August 2005 , but Bond convinced him to stay .",employee_of
"Philip Chen	Cathay Pacific	Cathay Pacific Director Philip Chen said : `` Cathay Pacific being able to operate three services a week to Beijing is a very important step , but is still just a start .",employee_of
"BNC Mortgage	1,200	Among the top 20 subprime lenders from 2006 , a shocking number have gone out of business , including BNC Mortgage , which Lehman Brothers recently announced would be shut down , with 1,200 people losing their jobs .",number_of_employees/members
"Red Sox	American League Division Series	ANAHEIM , Calif. -- Five things to look for as the Angels and Red Sox begin their American League Division Series at Angel Stadium on Wednesday .",member_of
Servicemembers Legal Defense Network	http://www.sldn.org/	Servicemembers Legal Defense Network : http://www.sldn.org/,website
Beyonce	Jay-Z	Beyonce & Jay-Z First Wedding Photos Beyonce & Jay-Z Married Today in NY Beyonce & Jay-Z Secret Wedding Plans confessing7girl Read More : Beyonce Baby Bump in Secret Wedding !?!,spouse
"KKL	Kinmen Kaoliang Liquor	With Hawkins ' help , Kinmen Kaoliang Liquor -LRB- KKL -RRB- has opened the season with a 4-2 record and is the league 's most improved team .",alternate_names
"his	army	Cuban army general Raul Castro was elected president of Cuba Sunday to replace his brother Fidel Castro , during a legislative session at Cuba 's Palace of Conventions in the capital Havana .",employee_of
"Institute for Diversity and Ethics in Sport	University of Central Florida	_ Is director of the Institute for Diversity and Ethics in Sport at the University of Central Florida , which publishes the annual study `` Academic Progress/Graduation Success Rates of Division I NCAA Women 's and Men 's Basketball Tournament Teams . ''",parents
"Fyffes	David McCann	The case pitted Flavin , one of Ireland 's most successful entrepreneurs who now serves as DCC chairman , against his former close friend and longtime business partner , Fyffes chairman David McCann .",top_members/employees
"Hashim Ahmad al-Tai	Sultan	Also sentenced to death were Sultan Hashim Ahmad al-Tai , the former defense minister who led the Iraqi delegation at the cease-fire talks that ended the 1991 Gulf War , and Hussein Rashid Mohammed , a former deputy director of operations for the Iraqi armed forces .",title
National Action Network	his	Sharpton has said he will not endorse any candidate until hearing more about their views on civil rights and other issues at his National Action Network convention next week in New York City .,founded_by
"MAC	Department of Legal Affairs	Taiwan 's envoy to HK to assume post soon after finally getting visa Yang , who originally headed the MAC 's Department of Legal Affairs , will replace Pao Cheng-kang as managing director of Chung Hwa Travel Service , the formal title of Taiwan 's representative office in Hong Kong , the MAC sources said .",subsidiaries
"Kelly Cutrone	MTV	While Whitney Port , Kelly Cutrone and Roxy Olin of MTV 's `` The City '' were styling a shoot at Grand Central Terminal for Style212.com for an upcoming episode , police came over to break up a crowd gathered around the cast .",employee_of
"MF Global	Mike Fitzpatrick	`` It looks like investors are shedding their appetite for risk again , '' said Mike Fitzpatrick of MF Global , predicting prices could dip as low 67 dollars in the first quarter of 2010 .",top_members/employees
she	Nick Cannon	The newly christened Mrs. Nick Cannon -LRB- the artist formerly known as Mariah Carey -RRB- paid a little visit to the Ellen DeGeneres Show yesterday in her first on-camera interview since she was married to the aforementioned Nick Cannon in a secret Caribbean wedding a few weeks ago .,spouse
"Haifa University	Israel	Gabriel Weimann , professor of communication at Israel 's Haifa University and a former research fellow at the United States Institute of Peace , agreed that coordination of international efforts needed to be stepped up .",country_of_headquarters
"Paul Gillmor	Rep.	In the lone congressional race , voters in northwest Ohio were choosing among five Republicans and two Democrats in a primary for the nomination to succeed Rep. Paul Gillmor , who died in September from a fall at his Washington apartment .",title
"she	US	Eight months after she began the process to adopt little David Banda , the US singer returned to the impoverished southern African nation this week not only with her latest charge but also her biological daughter Lourdes .",origin
"Project Islamic Hope	Najee Ali	`` One rule for the rich and famous and different rules for everyone else , '' said Najee Ali , director of Project Islamic Hope .",top_members/employees
"Carson	Indianapolis City-County Council	Carson , 33 , has been a member of the Indianapolis City-County Council since August .",employee_of
"Mia Farrow	UN	Mia Farrow , a UN goodwill ambassador , has labeled the Beijing Games the `` genocide Olympics '' and has launched her own Olympic - style torch relay through countries with histories of mass atrocities .",employee_of
"FirstGroup	U.S.	It and FirstGroup are the only operators with a nationwide presence across the U.S. , finance chief Maiden said .",country_of_headquarters
"she	Gloucester	On the July morning in 1944 when she boarded a Greyhound bus in Gloucester bound for Baltimore , Kirkaldy was not thinking about tackling racial segregation .",cities_of_residence
"Juanita Millender-McDonald	Committee on House Administration	`` The board must not only be free of partisanship , but must function so all of the members have access '' to allegations of misconduct , said Rep Juanita Millender-McDonald , a Democrat and chairman of the Committee on House Administration .",employee_of
